First,Last,Year,#,Asset,Asset Type,Owner,Value,Income Type,Income
TAMMY,BALDWIN,2017,<td>1</td>,"<td class=""span4""><strong class=""marginit-right"">Qualified Blind Trust (Senate approved QBT)</strong><div class=""muted""></div></td>","<td>Trust<div class=""muted"">Blind</div></td>",<td>Self</td>,"<td>$500,001 - $1,000,000</td>","<td>Qualified Blind Trust, </td>","<td>$5,001 - $15,000</td>"
TAMMY,BALDWIN,2017,<td>2</td>,"<td class=""span4""><strong>Summit Credit Union</strong><div class=""muted noWrap"">(Madison, Wisconsin)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, Money Market Account, Savings, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Dividends, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2017,<td>3</td>,"<td class=""span4""><strong>US Senate Federal Credit Union</strong><div class=""muted noWrap"">(Washington, DC)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, Savings, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2017,<td>4</td>,"<td class=""span4""><strong class=""marginit-right"">Wisconsin Retirement System, Madison Wisconsin (defined benefits plan)</strong><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Benefit Pension Plan</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2014,<td>1</td>,"<td class=""span4""><strong class=""marginit-right"">Qualified Blind Trust (Senate approved QBT)</strong><div class=""muted""></div></td>","<td>Trust<div class=""muted"">Blind</div></td>",<td>Self</td>,"<td>$250,001 - $500,000</td>","<td>Qualified Blind Trust, </td>","<td>$5,001 - $15,000</td>"
TAMMY,BALDWIN,2014,<td>2</td>,"<td class=""span4""><strong>Summit Credit Union</strong><div class=""muted noWrap"">(Madison, Wisconsin)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, Money Market Account, Savings, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Dividends, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2014,<td>3</td>,"<td class=""span4""><strong class=""marginit-right"">Wisconsin Retirement System, Madison Wisconsin (defined benefits plan)</strong><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Benefit Pension Plan</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2019,<td>1</td>,"<td class=""span4""><strong class=""marginit-right"">Qualified Blind Trust (Senate approved QBT)</strong><div class=""muted""></div></td>","<td>Trust<div class=""muted"">Blind</div></td>",<td>Self</td>,"<td>$500,001 - $1,000,000</td>","<td>Qualified Blind Trust, </td>","<td>$15,001 - $50,000</td>"
TAMMY,BALDWIN,2019,<td>2</td>,"<td class=""span4""><strong>Summit Credit Union</strong><div class=""muted noWrap"">(Madison, Wisconsin)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, Money Market Account, Savings, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>Dividends, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2019,<td>3</td>,"<td class=""span4""><strong>US Senate Federal Credit Union</strong><div class=""muted noWrap"">(Washington, DC)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, Savings, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2019,<td>4</td>,"<td class=""span4""><strong class=""marginit-right"">Wisconsin Retirement System, Madison Wisconsin (defined benefits plan)</strong><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Benefit Pension Plan</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2020,<td>1</td>,"<td class=""span4""><strong class=""marginit-right"">Qualified Blind Trust (Senate approved QBT)</strong><div class=""muted""></div></td>","<td>Trust<div class=""muted"">Blind</div></td>",<td>Self</td>,"<td>$500,001 - $1,000,000</td>","<td>Qualified Blind Trust, </td>","<td>$15,001 - $50,000</td>"
TAMMY,BALDWIN,2020,<td>2</td>,"<td class=""span4""><strong>Summit Credit Union</strong><div class=""muted noWrap"">(Madison, Wisconsin)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, Money Market Account, Savings, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>Dividends, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2020,<td>3</td>,"<td class=""span4""><strong>US Senate Federal Credit Union</strong><div class=""muted noWrap"">(Washington, DC)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, Savings, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2020,<td>4</td>,"<td class=""span4""><strong class=""marginit-right"">Wisconsin Retirement System, Madison Wisconsin (defined benefits plan)</strong><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Benefit Pension Plan</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2016,<td>1</td>,"<td class=""span4""><strong class=""marginit-right"">Qualified Blind Trust (Senate approved QBT)</strong><div class=""muted""></div></td>","<td>Trust<div class=""muted"">Blind</div></td>",<td>Self</td>,"<td>$500,001 - $1,000,000</td>","<td>Qualified Blind Trust, </td>","<td>$5,001 - $15,000</td>"
TAMMY,BALDWIN,2016,<td>2</td>,"<td class=""span4""><strong>Summit Credit Union</strong><div class=""muted noWrap"">(Madison, Wisconsin)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, Money Market Account, Savings, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Dividends, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2016,<td>3</td>,"<td class=""span4""><strong>US Senate Federal Credit Union</strong><div class=""muted noWrap"">(Washington, DC)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, Savings, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2016,<td>4</td>,"<td class=""span4""><strong class=""marginit-right"">Wisconsin Retirement System, Madison Wisconsin (defined benefits plan)</strong><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Benefit Pension Plan</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2015,<td>1</td>,"<td class=""span4""><strong class=""marginit-right"">Qualified Blind Trust (Senate approved QBT)</strong><div class=""muted""></div></td>","<td>Trust<div class=""muted"">Blind</div></td>",<td>Self</td>,"<td>$250,001 - $500,000</td>","<td>Qualified Blind Trust, </td>","<td>$5,001 - $15,000</td>"
TAMMY,BALDWIN,2015,<td>2</td>,"<td class=""span4""><strong>Summit Credit Union</strong><div class=""muted noWrap"">(Madison, Wisconsin)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, Money Market Account, Savings, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Dividends, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2015,<td>3</td>,"<td class=""span4""><strong>US Senate Federal Credit Union</strong><div class=""muted noWrap"">(Washington, DC)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, Savings, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2015,<td>4</td>,"<td class=""span4""><strong class=""marginit-right"">Wisconsin Retirement System, Madison Wisconsin (defined benefits plan)</strong><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Benefit Pension Plan</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2018,<td>1</td>,"<td class=""span4""><strong class=""marginit-right"">Qualified Blind Trust (Senate approved QBT)</strong><div class=""muted""></div></td>","<td>Trust<div class=""muted"">Blind</div></td>",<td>Self</td>,"<td>$500,001 - $1,000,000</td>","<td>Qualified Blind Trust, </td>","<td>$5,001 - $15,000</td>"
TAMMY,BALDWIN,2018,<td>2</td>,"<td class=""span4""><strong>Summit Credit Union</strong><div class=""muted noWrap"">(Madison, Wisconsin)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, Money Market Account, Savings, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Dividends, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2018,<td>3</td>,"<td class=""span4""><strong>US Senate Federal Credit Union</strong><div class=""muted noWrap"">(Washington, DC)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, Savings, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
