First,Last,Office,Report,Date
<td>ANDREW LAMAR</td>,<td>ALEXANDER</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/2701724B-A03B-4738-8E28-15D9FBBADEFE/"" target=""_blank"">Annual Report</a></td>",<td>05/15/2012</td>
<td>ANDREW LAMAR</td>,<td>ALEXANDER</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/0DAB9BAF-F4DA-4214-B875-A077BA158CAF/"" target=""_blank"">Annual Report</a></td>",<td>05/15/2013</td>
<td>ANDREW LAMAR</td>,<td>ALEXANDER</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/FA12998F-713A-40BB-8892-9BCFA5308999/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>06/06/2012</td>
<td>LAMAR </td>,<td>ALEXANDER</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/EB880093-8D54-46A0-97F4-8CA635355D55/"" target=""_blank"">Annual Report</a></td>",<td>05/15/2014</td>
<td>LAMAR </td>,<td>ALEXANDER</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/2ddb55fe-8fd1-432a-8174-4a2d6b3fa2ab/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>06/18/2018</td>
<td>LAMAR </td>,<td>ALEXANDER</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/paper/183C162F-950A-412F-B3C3-ECFE05B45051/"" target=""_blank"">Annual Report (Amendment)</a></td>",<td>11/21/2014</td>
<td>Tammy</td>,<td>Baldwin</td>,"<td class=""noWrap"">Baldwin, Tammy (Senator)</td>","<td><a href=""/search/view/annual/5fbacc8a-4484-4dbc-834f-e068b0fcce24/"" target=""_blank"">Annual Report for CY 2014</a></td>",<td>05/13/2015</td>
<td>Tammy</td>,<td>Baldwin</td>,"<td class=""noWrap"">Baldwin, Tammy (Senator)</td>","<td><a href=""/search/view/annual/c970b65b-fdc4-47b6-be36-5c5f736376f1/"" target=""_blank"">Annual Report for CY 2015</a></td>",<td>05/11/2016</td>
<td>Tammy</td>,<td>Baldwin</td>,"<td class=""noWrap"">Baldwin, Tammy (Senator)</td>","<td><a href=""/search/view/annual/04035046-9b3e-4911-8985-ebf3b7309914/"" target=""_blank"">Annual Report for CY 2016</a></td>",<td>05/11/2017</td>
<td>Tammy</td>,<td>Baldwin</td>,"<td class=""noWrap"">Baldwin, Tammy (Senator)</td>","<td><a href=""/search/view/annual/cd995c54-f862-45ee-a342-074cbcd74e7a/"" target=""_blank"">Annual Report for CY 2017</a></td>",<td>05/09/2018</td>
<td>Tammy</td>,<td>Baldwin</td>,"<td class=""noWrap"">Senator</td>","<td><a href=""/search/view/extension-notice/regular/6158b9be-672f-4657-9c37-bf8cd0fe5ae8/"" target=""_blank"">Annual Report for 2019 Due Date Extension 1</a></td>",<td>04/16/2020</td>
<td>Tammy</td>,<td>Baldwin</td>,"<td class=""noWrap"">Baldwin, Tammy (Senator)</td>","<td><a href=""/search/view/annual/e8d436a6-62ae-4e35-a2ff-d0b565b906eb/"" target=""_blank"">Annual Report for CY 2013</a></td>",<td>05/15/2014</td>
