First,Last,Report,Date,Report Type
TAMMY,BALDWIN,/search/view/annual/cd995c54-f862-45ee-a342-074cbcd74e7a/,2017,Annual Report
TAMMY,BALDWIN,/search/view/annual/5fbacc8a-4484-4dbc-834f-e068b0fcce24/,2014,Annual Report
TAMMY,BALDWIN,/search/view/annual/55aecaa3-e6ad-46c4-943f-5b326b1f414b/,2019,Annual Report
TAMMY,BALDWIN,/search/view/annual/94bbc60f-debe-4696-a27e-4e39f51a6fd9/,2020,Annual Report
TAMMY,BALDWIN,/search/view/annual/04035046-9b3e-4911-8985-ebf3b7309914/,2016,Annual Report
TAMMY,BALDWIN,/search/view/annual/c970b65b-fdc4-47b6-be36-5c5f736376f1/,2015,Annual Report
TAMMY,BALDWIN,/search/view/annual/882de87e-7257-43b6-af1c-72bdfd1487f9/,2018,Annual Report
TAMMY,BALDWIN,/search/view/annual/e8d436a6-62ae-4e35-a2ff-d0b565b906eb/,2013,Annual Report
JOHN,BARRASSO,/search/view/annual/cc198326-0f50-4f47-8b03-a5c6440f400f/,2018,Annual Report
JOHN,BARRASSO,/search/view/annual/11d4f1bc-8cfa-4a61-94ea-410b061576d3/,2019,Annual Report
JOHN,BARRASSO,/search/view/annual/ad59484e-58c5-47a6-b96d-a5da3ea36e96/,2020,Annual Report
JOHN,BARRASSO,/search/view/annual/b37598a7-5ee9-449f-8309-efd4be9e77d2/,2017,Annual Report
JOHN,BARRASSO,/search/view/annual/b5e5f37e-f39c-466e-94d7-3d80ff04e3bb/,2015,Annual Report
JOHN,BARRASSO,/search/view/annual/e4c55da8-1f73-4417-ab46-fa55146dc388/,2016,Annual Report
JOHN,BARRASSO,/search/view/ptr/265964e0-3d22-4a52-af4f-37916b56390d/,05/24/2018,Periodic Transaction Report
JOHN,BARRASSO,/search/view/annual/dce75503-f37d-461e-907b-bc016bcdb267/,2014,Annual Report
MICHAEL,BENNET,/search/view/annual/6d680ac7-e2d8-4d26-bf97-e3bb76f1b2f3/,2017,Annual Report
MICHAEL,BENNET,/search/view/ptr/ca3a419d-76cb-45f4-b6ac-203baf908371/,04/10/2017,Periodic Transaction Report
MICHAEL,BENNET,/search/view/ptr/cc21478c-7266-432d-9412-efd04d059ab4/,04/02/2019,Periodic Transaction Report
MICHAEL,BENNET,/search/view/ptr/d4ab53a8-86b8-43ee-8d12-64458b870046/,09/02/2020,Periodic Transaction Report
MICHAEL,BENNET,/search/view/ptr/d72b5a11-2578-4923-b5db-120464bc4261/,02/07/2017,Periodic Transaction Report
MICHAEL,BENNET,/search/view/annual/bb9b7053-c6a9-4602-988d-d1223023faeb/,2016,Annual Report
MICHAEL,BENNET,/search/view/ptr/cd2add48-f2bc-42bc-acbd-d8f7b502eae1/,12/21/2017,Periodic Transaction Report
MICHAEL,BENNET,/search/view/annual/56cb650e-9995-4f62-8b00-8dd6a154ad1b/,2018,Annual Report
MICHAEL,BENNET,/search/view/annual/a95fa99b-972e-4c69-a161-bd3d50e61ac3/,2013,Annual Report
MICHAEL,BENNET,/search/view/annual/c81fe2d7-e217-4bbf-b0be-7ccd845280d2/,2019,Annual Report
MICHAEL,BENNET,/search/view/annual/b47ed26c-1054-4549-86ad-38cd7215a4f7/,2015,Annual Report
MICHAEL,BENNET,/search/view/annual/39baf99f-a698-44c5-a764-0eb6490253b2/,2020,Annual Report
MICHAEL,BENNET,/search/view/ptr/596ec5e5-2392-4cb7-a12d-8466ab2a4f8e/,07/12/2021,Periodic Transaction Report
